date,S&P500,NASDAQ100
2022-07-15,18476,12089.0
2022-07-19,18580,12140.0
2022-07-20,19083,12512.0
2022-07-21,19243,12737.0
2022-07-22,19270,12812.0
2022-07-25,18992,12521.0
2022-07-26,18994,12437.0
2022-07-27,18850,12241.0
2022-07-28,19242,12696.0
2022-07-29,19236,12655.0
2022-08-01,19265,12721.0
2022-08-02,18917,12521.0
2022-08-03,19202,12755.0
2022-08-04,19491,13094.0
2022-08-05,19384,13090.0
2022-08-08,19692,13216.0
2022-08-09,19603,13123.0
2022-08-10,19572,13008.0
2022-08-12,19690,13100.0
2022-08-15,19985,13338.0
2022-08-16,20097,13459.0
2022-08-17,20306,13541.0
2022-08-18,20252,13442.0
2022-08-19,20512,13616.0
2022-08-22,20376,13435.0
2022-08-23,19961,13090.0
2022-08-24,19862,13047.0
2022-08-25,19927,13087.0
2022-08-26,20175,13294.0
2022-08-29,19722,12898.0
2022-08-30,19623,12795.0
2022-08-31,19417,12656.0
2022-09-01,19394,12666.0
2022-09-02,19533,12721.0
2022-09-05,19360,12561.0
2022-09-06,19349,12554.0
2022-09-07,19663,12717.0
2022-09-08,20214,13102.0
2022-09-09,20255,13108.0
2022-09-12,20424,13299.0
2022-09-13,20600,13433.0
2022-09-14,19979,12862.0
2022-09-15,19892,12867.0
2022-09-16,19637,12628.0
2022-09-20,19653,12668.0
2022-09-21,19493,12600.0
2022-09-22,19264,12441.0
2022-09-26,18710,12051.0
2022-09-27,18580,12031.0
2022-09-28,18570,12067.0
2022-09-29,18885,12271.0
2022-09-30,18548,11961.0
2022-10-03,18280,11759.0
2022-10-04,18731,12022.0
2022-10-05,19202,12335.0
2022-10-06,19259,12386.0
2022-10-07,19100,12315.0
2022-10-11,18535,11784.0
2022-10-12,18468,11672.0
2022-10-13,18501,11724.0
2022-10-14,19046,12033.0
2022-10-17,18746,11755.0
2022-10-18,19277,12183.0
2022-10-19,19542,12305.0
2022-10-20,19511,12319.0
2022-10-21,19393,12278.0
2022-10-24,19691,12468.0
2022-10-25,19926,12601.0
2022-10-26,20140,12794.0
2022-10-27,19702,12325.0
2022-10-28,19661,12142.0
2022-10-31,20365,12663.0
2022-11-01,20283,12551.0
2022-11-02,20044,12327.0
2022-11-04,19433,11731.0
2022-11-07,19529,11813.0
2022-11-08,19651,11903.0
2022-11-09,19660,11932.0
2022-11-10,19335,11700.0
2022-11-11,19775,12184.0
2022-11-14,19638,12207.0
2022-11-15,19580,12158.0
2022-11-16,19633,12261.0
2022-11-17,19468,12084.0
2022-11-18,19519,12127.0
2022-11-21,19622,12133.0
2022-11-22,19790,12153.0
2022-11-24,19775,12205.0
2022-11-25,19753,12192.0
2022-11-28,19747,12105.0
2022-11-29,19415,11915.0
2022-11-30,19380,11825.0
2022-12-01,19728,12209.0
2022-12-02,19500,12089.0
2022-12-05,19353,11964.0
2022-12-06,19264,11917.0
2022-12-07,19093,11742.0
2022-12-08,18955,11625.0
