date,TOPIX,NASDAQ100,S&P500
2020-04-07,9765,,9902.0
2020-04-08,9911,,9848.0
2020-04-09,9859,,10223.0
2020-04-10,9946,,10329.0
2020-04-13,9781,,10293.0
2020-04-14,9972,,10134.0
2020-04-15,9977,,10401.0
2020-04-16,9893,,10221.0
2020-04-17,10032,,10303.0
2020-04-20,9964,,10575.0
2020-04-21,9849,,10376.0
2020-04-22,9786,,10065.0
2020-04-23,9920,,10292.0
2020-04-24,9886,,10277.0
2020-04-27,10067,,10409.0
2020-04-28,10082,,10532.0
2020-04-30,10182,,10714.0
2020-05-01,9954,,10655.0
2020-05-07,9923,,10324.0
2020-05-08,10143,,10456.0
2020-05-11,10298,,10693.0
2020-05-12,10269,,10751.0
2020-05-13,10257,,10494.0
2020-05-14,10058,,10288.0
2020-05-15,10111,,10461.0
2020-05-18,10150,,10477.0
2020-05-19,10335,,10826.0
2020-05-20,10393,,10776.0
2020-05-21,10371,,10934.0
2020-05-22,10277,,10848.0
2020-05-25,10447,,10867.0
2020-05-26,10673,,10879.0
2020-05-27,10775,,10987.0
2020-05-28,10971,,11191.0
2020-05-29,10874,,11130.0
2020-06-01,10910,,11205.0
2020-06-02,11041,,11231.0
2020-06-03,11121,,11443.0
2020-06-04,11154,,11617.0
2020-06-05,11214,,11603.0
2020-06-08,11340,,11948.0
2020-06-09,11324,,11938.0
2020-06-10,11298,,11814.0
2020-06-11,11049,,11666.0
2020-06-12,10921,,10949.0
2020-06-15,10644,,11151.0
2020-06-16,11080,,11252.0
2020-06-17,11037,,11469.0
2020-06-18,11008,,11367.0
2020-06-19,11007,,11391.0
2020-06-22,10980,,11306.0
2020-06-23,11037,,11404.0
2020-06-24,10990,,11406.0
2020-06-25,10860,,11169.0
2020-06-26,10968,,11296.0
2020-06-29,10788,,11037.0
2020-06-30,10854,,11252.0
2020-07-01,10714,,11465.0
2020-07-02,10743,,11456.0
2020-07-03,10809,,11516.0
2020-07-06,10982,,11528.0
2020-07-07,10944,,11672.0
2020-07-08,10843,,11588.0
2020-07-09,10843,,11637.0
2020-07-10,10690,,11555.0
2020-07-13,10953,,11645.0
2020-07-14,10898,,11582.0
2020-07-15,11068,,11740.0
2020-07-16,10995,,11813.0
2020-07-17,10959,,11803.0
2020-07-20,10981,,11865.0
2020-07-21,11021,,11936.0
2020-07-22,10952,,11916.0
2020-07-27,10978,,11646.0
2020-07-28,10925,,11680.0
2020-07-29,10784,,11582.0
2020-07-30,10718,,11721.0
2020-07-31,10416,,11626.0
2020-08-03,10601,,11886.0
2020-08-04,10828,,11971.0
2020-08-05,10825,,11956.0
2020-08-06,10790,,12020.0
2020-08-07,10768,,12108.0
2020-08-11,11040,,12218.0
2020-08-12,11177,,12166.0
2020-08-13,11306,,12354.0
2020-08-14,11301,,12363.0
2020-08-17,11206,,12311.0
2020-08-18,11213,,12261.0
2020-08-19,11234,,12218.0
2020-08-20,11133,,12270.0
2020-08-21,11166,,12263.0
2020-08-24,11187,,12318.0
2020-08-25,11314,,12468.0
2020-08-26,11308,,12566.0
2020-08-27,11248,,12631.0
2020-08-28,11174,,12740.0
2020-08-31,11267,,12669.0
2020-09-01,11250,,12707.0
2020-09-02,11303,,12819.0
2020-09-03,11358,,13043.0
2020-09-04,11255,,12579.0
2020-09-07,11207,,12498.0
2020-09-08,11285,,12492.0
2020-09-09,11177,,12111.0
2020-09-10,11313,,12382.0
2020-09-11,11395,,12158.0
2020-09-14,11495,,12166.0
2020-09-15,11424,,12274.0
2020-09-16,11449,,12297.0
2020-09-17,11407,,12205.0
2020-09-18,11463,,12076.0
2020-09-23,11448,,11960.0
2020-09-24,11324,,11713.0
2020-09-25,11378,,11761.0
2020-09-28,11570,,11927.0
2020-09-29,11639,,12117.0
2020-09-30,11411,,12113.0
2020-10-01,11411,,12182.0
2020-10-02,11295,,12249.0
2020-10-05,11492,,12135.0
2020-10-06,11552,,12361.0
2020-10-07,11557,,12192.0
2020-10-08,11620,,12449.0
2020-10-09,11563,,12542.0
2020-10-12,11535,,12615.0
2020-10-13,11575,,12787.0
2020-10-14,11539,,12713.0
2020-10-15,11454,,12610.0
2020-10-16,11355,,12602.0
2020-10-19,11497,,12608.0
2020-10-20,11411,,12427.0
2020-10-21,11495,,12463.0
2020-10-22,11370,,12346.0
2020-10-23,11408,,12419.0
2020-10-26,11364,,12459.0
2020-10-27,11353,,12242.0
2020-10-28,11318,,12163.0
2020-10-29,11308,,11728.0
2020-10-30,11086,,11892.0
2020-11-02,11287,,11767.0
2020-11-04,11423,,12099.0
2020-11-05,11581,,12336.0
2020-11-06,11643,,12507.0
2020-11-09,11808,,12462.0
2020-11-10,11941,,12835.0
2020-11-11,12140,,12812.0
2020-11-12,12118,,12943.0
2020-11-13,11958,,12764.0
2020-11-16,12159,,12902.0
2020-11-17,12178,,13025.0
2020-11-18,12079,,12916.0
2020-11-19,12119,,12742.0
2020-11-20,12128,,12794.0
2020-11-24,12374,,12866.0
2020-11-25,12411,,13063.0
2020-11-26,12485,,13023.0
2020-11-27,12542,,13000.0
2020-11-30,12321,,13000.0
2020-12-01,12415,,12989.0
2020-12-02,12455,,13145.0
2020-12-03,12464,,13188.0
2020-12-04,12468,,13098.0
2020-12-07,12362,,13246.0
2020-12-08,12348,,13222.0
2020-12-09,12493,,13268.0
2020-12-10,12470,,13178.0
2020-12-11,12510,,13128.0
2020-12-14,12570,,13115.0
2020-12-15,12511,,13070.0
2020-12-16,12544,,13189.0
2020-12-17,12585,,13176.0
2020-12-18,12590,,13228.0
2020-12-21,12559,,13210.0
2020-12-22,12364,,13151.0
2020-12-23,12392,,13164.0
2020-12-24,12456,,13172.0
2020-12-25,12485,,13200.0
2020-12-28,12552,,13218.0
2020-12-29,12786,,13359.0
2020-12-30,12685,,13288.0
2021-01-04,12614,,13339.0
2021-01-05,12589,,13152.0
2021-01-06,12625,,13186.0
2021-01-07,12836,,13301.0
2021-01-08,13038,,13613.0
2021-01-12,13059,,13650.0
2021-01-13,13104,,13583.0
2021-01-14,13166,,13650.0
2021-01-15,13048,,13586.0
